,dataset,file_name,width,height,mpp_x,mpp_y,width_microns,height_microns,manufacturer,magnification,tiff.XResolution,tiff.YResolution,resolution_mpp_x,resolution_mpp_y
0,tcga_luad,TCGA-49-4507-01Z-00-DX2.a7bfbeee-00ea-4301-ace4-ce591807e2d3.svs,113191,79694,0.252,0.252,28524.132,20082.888,aperio,40,,,,
1,tcga_luad,TCGA-MP-A4T7-01Z-00-DX1.C74D7A5B-1D1A-423B-85CA-C11E0CCF5873.svs,71712,63395,0.2525,0.2525,18107.28,16007.2375,aperio,40,,,,
2,tcga_luad,TCGA-69-7760-01Z-00-DX1.7fc295e3-5bfc-4017-801c-491489d0eb34.svs,73861,70745,0.252,0.252,18612.972,17827.74,aperio,40,,,,
3,tcga_luad,TCGA-64-1676-01Z-00-DX1.3B8F1FAC-0FB2-45DE-AFA1-6ED451A4A61B.svs,55775,43910,0.2527,0.2527,14094.342499999999,11096.056999999999,aperio,40,,,,
4,tcga_luad,TCGA-75-6205-01Z-00-DX1.B75BC6BA-5196-4F62-BDA2-3F1D320ABD7C.svs,57967,24304,0.5005,0.5005,29012.4835,12164.151999999998,aperio,20,,,,
5,tcga_luad,TCGA-78-7166-01Z-00-DX1.d19ad2d9-b006-4a13-ba54-2fec234c2373.svs,113191,71832,0.252,0.252,28524.132,18101.664,aperio,40,,,,
6,tcga_luad,TCGA-49-4490-01Z-00-DX1.bde106d9-1494-4775-b77d-11c86bb09b72.svs,146764,84786,0.252,0.252,36984.528,21366.072,aperio,40,,,,
7,tcga_luad,TCGA-55-8615-01Z-00-DX1.928CFCA6-059D-4901-8D6A-BC7D9486C29F.svs,59473,40707,0.252,0.252,14987.196,10258.164,aperio,40,,,,
8,tcga_luad,TCGA-38-6178-01Z-00-DX1.5932337D-BA2B-455D-9E34-22961EFA2170.svs,142927,64474,0.252,0.252,36017.604,16247.448,aperio,40,,,,
9,tcga_luad,TCGA-55-A492-01Z-00-DX1.31B23842-7F8B-4311-88DF-C51CB4F54AED.svs,79617,66740,0.252,0.252,20063.484,16818.48,aperio,40,,,,
10,tcga_luad,TCGA-64-1679-01Z-00-DX1.f9fd24ef-d51c-4530-9fb5-e8a8f09dba73.svs,56595,49054,0.252,0.252,14261.94,12361.608,aperio,40,,,,
11,tcga_luad,TCGA-97-7553-01Z-00-DX1.e31eec5e-0053-407a-b057-9b87555b122d.svs,112231,78925,0.252,0.252,28282.212,19889.1,aperio,40,,,,
12,tcga_luad,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8.svs,102639,29145,0.252,0.252,25865.028,7344.54,aperio,40,,,,
13,tcga_luad,TCGA-80-5611-01Z-00-DX1.31920706-8AF4-46D2-B1D4-7DD5AF4AAC77.svs,75957,34916,0.5005,0.5005,38016.4785,17475.458,aperio,20,,,,
14,tcga_luad,TCGA-49-4514-01Z-00-DX3.3b247c08-3069-4100-9df4-734895adb954.svs,90169,75950,0.252,0.252,22722.588,19139.4,aperio,40,,,,
15,tcga_luad,TCGA-64-1681-01Z-00-DX1.fb0244f6-51a8-4da2-b45c-38d8e02edab7.svs,52758,38117,0.252,0.252,13295.016,9605.484,aperio,40,,,,
16,tcga_luad,TCGA-55-8511-01Z-00-DX1.8EDFB05B-5B59-46EA-973C-1048B1E284D2.svs,47962,31231,0.252,0.252,12086.424,7870.212,aperio,40,,,,
17,tcga_luad,TCGA-J2-A4AD-01Z-00-DX1.C3C3B0C6-0666-4CCF-8422-345560B237DA.svs,109480,85211,0.2456,0.2456,26888.288,20927.8216,aperio,40,,,,
18,tcga_luad,TCGA-05-4402-01Z-00-DX1.c653ddc2-88c1-45ac-88e7-4e512b8e8d53.svs,80896,100096,0.2325,0.2325,18808.32,23272.32,aperio,20,,,,
19,tcga_luad,TCGA-55-8206-01Z-00-DX1.1216f330-c4e9-41b5-a2b7-9cafd960fa11.svs,41247,40812,0.252,0.252,10394.244,10284.624,aperio,40,,,,
20,tcga_luad,TCGA-49-4494-01Z-00-DX5.1e9e22d6-a4c9-40d1-aedb-b6cd404fe16f.svs,156357,77768,0.252,0.252,39401.964,19597.536,aperio,40,,,,
21,tcga_luad,TCGA-78-7220-01Z-00-DX1.3df84ce0-4395-4c9e-ba62-76b55676a440.svs,105517,81409,0.252,0.252,26590.284,20515.068,aperio,40,,,,
22,tcga_luad,TCGA-55-8207-01Z-00-DX1.2dafc442-f927-4b0d-b197-cc8c5f86d0fc.svs,16307,15251,0.252,0.252,4109.364,3843.252,aperio,40,,,,
23,tcga_luad,TCGA-55-7281-01Z-00-DX1.a92dafa4-3a65-4f5c-97f0-83aff231274a.svs,44125,27646,0.252,0.252,11119.5,6966.792,aperio,40,,,,
24,tcga_luad,TCGA-49-4490-01Z-00-DX2.1b491bd7-60d2-40a6-96cd-01385bce2b0f.svs,119905,60981,0.252,0.252,30216.06,15367.212,aperio,40,,,,
25,tcga_luad,TCGA-49-6742-01Z-00-DX3.789aa445-e63f-4e6e-900a-0f47f44af6b7.svs,157316,84874,0.252,0.252,39643.632,21388.248,aperio,40,,,,
26,tcga_luad,TCGA-05-4418-01Z-00-DX1.f3863ea5-564f-482f-9878-cc104cf69401.svs,99328,110848,0.2325,0.2325,23093.760000000002,25772.16,aperio,20,,,,
