wsi_id,mean_superpixel_area,magnification,mpp_x,mpp_y,norm_mpp_x,norm_mpp_y
C3L-04071-24,351429.15843500965,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05693-26,289501.5209148771,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04014-21,444114.39866521145,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05428-22,453982.6601429867,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02688-21,416725.3312649505,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05020-22,292670.17283796077,20.0,0.5031,0.5031,0.25155,0.25155
C3N-00221-23,283214.77230433724,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05428-23,427979.50641772075,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04786-23,386349.4413487685,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04014-26,201331.24794871028,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04856-25,491319.6069926742,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02163-21,373028.1080523335,20.0,0.4942,0.4942,0.2471,0.2471
C3N-01025-23,461102.1454648489,20.0,0.4942,0.4942,0.2471,0.2471
C3N-00221-21,499168.62776732066,20.0,0.4942,0.4942,0.2471,0.2471
C3N-00555-24,441160.98087202007,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04336-28,514928.76749939943,20.0,0.5031,0.5031,0.25155,0.25155
C3N-04169-22,379195.6058178046,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04808-26,469402.2216854687,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05369-24,488843.0022748285,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04873-24,424155.15200372814,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05428-24,407825.41365897877,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02964-22,453302.26498837,20.0,0.4942,0.4942,0.2471,0.2471
C3N-01768-29,174164.1834975436,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04889-21,444161.26995614107,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02435-21,319846.7906796088,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04868-26,384584.813269692,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05392-21,423366.60995468125,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04404-26,146135.12763599452,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05392-25,373116.6806006981,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04746-27,159929.33174377214,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04404-21,357557.06771908083,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04379-23,390601.2551516935,20.0,0.5031,0.5031,0.25155,0.25155
